X,Y,U,V,P
0.806250,0.056250,-0.013571,-0.002689,0.146336
0.818750,0.056250,-0.012129,-0.002560,0.144423
0.831250,0.056250,-0.010731,-0.002406,0.142063
0.843750,0.056250,-0.009386,-0.002227,0.139286
0.856250,0.056250,-0.008106,-0.002024,0.136123
0.868750,0.056250,-0.006899,-0.001797,0.132608
0.881250,0.056250,-0.005774,-0.001549,0.128782
0.893750,0.056250,-0.004740,-0.001280,0.124684
0.906250,0.056250,-0.003804,-0.000995,0.120362
0.918750,0.056250,-0.002970,-0.000698,0.115862
0.931250,0.056250,-0.002242,-0.000398,0.111236
0.943750,0.056250,-0.001620,-0.000108,0.106535
0.956250,0.056250,-0.001099,0.000151,0.101808
0.968750,0.056250,-0.000669,0.000349,0.097105
0.981250,0.056250,-0.000317,0.000444,0.092459
0.993750,0.056250,-0.000079,0.000385,0.086966
0.006250,0.068750,-0.000011,0.000079,-0.281836
0.018750,0.068750,-0.000087,0.000406,-0.282948
0.031250,0.068750,-0.000279,0.000792,-0.283802
0.043750,0.068750,-0.000601,0.001202,-0.284251
0.056250,0.068750,-0.001060,0.001614,-0.284238
0.068750,0.068750,-0.001657,0.002018,-0.283721
0.081250,0.068750,-0.002390,0.002404,-0.282662
0.093750,0.068750,-0.003255,0.002770,-0.281029
0.106250,0.068750,-0.004246,0.003110,-0.278796
0.118750,0.068750,-0.005356,0.003424,-0.275943
0.131250,0.068750,-0.006577,0.003708,-0.272455
0.143750,0.068750,-0.007899,0.003962,-0.268323
0.156250,0.068750,-0.009312,0.004184,-0.263542
0.168750,0.068750,-0.010806,0.004373,-0.258116
0.181250,0.068750,-0.012370,0.004529,-0.252049
0.193750,0.068750,-0.013992,0.004652,-0.245355
0.206250,0.068750,-0.015662,0.004742,-0.238048
0.218750,0.068750,-0.017368,0.004799,-0.230150
0.231250,0.068750,-0.019098,0.004824,-0.221685
0.243750,0.068750,-0.020842,0.004818,-0.212681
0.256250,0.068750,-0.022587,0.004781,-0.203170
0.268750,0.068750,-0.024324,0.004716,-0.193186
0.281250,0.068750,-0.026042,0.004623,-0.182768
0.293750,0.068750,-0.027730,0.004504,-0.171955
0.306250,0.068750,-0.029380,0.004359,-0.160788
0.318750,0.068750,-0.030980,0.004191,-0.149311
0.331250,0.068750,-0.032523,0.004001,-0.137570
0.343750,0.068750,-0.034000,0.003791,-0.125608
0.356250,0.068750,-0.035403,0.003562,-0.113474
0.368750,0.068750,-0.036724,0.003315,-0.101213
0.381250,0.068750,-0.037957,0.003052,-0.088873
0.393750,0.068750,-0.039094,0.002775,-0.076498
0.406250,0.068750,-0.040131,0.002484,-0.064135
0.418750,0.068750,-0.041062,0.002183,-0.051830
0.431250,0.068750,-0.041882,0.001871,-0.039624
0.443750,0.068750,-0.042586,0.001552,-0.027562
0.456250,0.068750,-0.043172,0.001225,-0.015683
0.468750,0.068750,-0.043636,0.000893,-0.004028
0.481250,0.068750,-0.043976,0.000558,0.007367
0.493750,0.068750,-0.044189,0.000220,0.018465
0.506250,0.068750,-0.044276,-0.000118,0.029234
0.518750,0.068750,-0.044234,-0.000455,0.039640
0.531250,0.068750,-0.044064,-0.000789,0.049656
0.543750,0.068750,-0.043767,-0.001120,0.059253
0.556250,0.068750,-0.043344,-0.001444,0.068406
0.568750,0.068750,-0.042796,-0.001760,0.077094
0.581250,0.068750,-0.042127,-0.002068,0.085295
0.593750,0.068750,-0.041340,-0.002364,0.092992
0.606250,0.068750,-0.040438,-0.002647,0.100167
0.618750,0.068750,-0.039427,-0.002915,0.106809
0.631250,0.068750,-0.038310,-0.003168,0.112905
0.643750,0.068750,-0.037094,-0.003402,0.118445
0.656250,0.068750,-0.035786,-0.003615,0.123423
0.668750,0.068750,-0.034393,-0.003808,0.127834
0.681250,0.068750,-0.032922,-0.003976,0.131675
0.693750,0.068750,-0.031381,-0.004120,0.134946
0.706250,0.068750,-0.029780,-0.004237,0.137646
0.718750,0.068750,-0.028128,-0.004325,0.139782
0.731250,0.068750,-0.026435,-0.004384,0.141357
0.743750,0.068750,-0.024710,-0.004412,0.142380
0.756250,0.068750,-0.022966,-0.004407,0.142861
0.768750,0.068750,-0.021213,-0.004369,0.142813
0.781250,0.068750,-0.019462,-0.004297,0.142250
0.793750,0.068750,-0.017725,-0.004190,0.141189
0.806250,0.068750,-0.016013,-0.004048,0.139650
0.818750,0.068750,-0.014339,-0.003870,0.137654
0.831250,0.068750,-0.012715,-0.003658,0.135227
0.843750,0.068750,-0.011151,-0.003410,0.132396
0.856250,0.068750,-0.009659,-0.003128,0.129190
